key,en,zh-TW
fields.folder.label,Folder,資料夾
fields.format.label,Format,格式
fields.framework.angular,Angular,角度
fields.framework.ember,Ember,餘燼
fields.framework.react,React,反應
fields.framework.svelte,Svelte,苗條
fields.framework.vue,Vue,Vue
fields.function.label,Function,功能
fields.gemini.label,Gemini,Gemini
fields.geminiModel.label,Gemini Model,Gemini型號
fields.gender.female,Female,女
fields.gender.label,Gender,性別
fields.gender.male,Male,男
fields.gender.unknown,Unknown,未知
fields.googleSheets.label,Google Sheets,Google工作表
fields.activeCampaign.label,ActiveCampaign,ActiveCampaign
fields.getResponse.label,GetResponse,取得回應
fields.mailchimp.label,Mailchimp,Mailchimp
fields.mailerLite.label,MailerLite,MailerLite
fields.klaviyo.label,Klaviyo,Klaviyo
fields.moosend.label,Moosend,Moosend
fields.host.label,Host,主機
fields.host.placeholder,smtp.example.com,smtp.example.com
fields.hideHeader.label,Hide Header,隱藏標題
fields.hideMessageInput.label,Hide Message Input,隱藏訊息輸入
fields.inbox.label,Inbox,收件匣
fields.inbox.placeholder,Select an inbox,選擇收件匣
fields.inboxTeam.label,Inbox Team,收件匣團隊
fields.teamMembers.label,Team Members,團隊成員
fields.inboxTeamMember.label,Inbox Team Member,收件匣團隊成員
fields.inputCustomField.label,Input Custom Field,輸入自訂欄位
fields.insertLink.label,Insert link,插入連結
fields.instructions.label,System Message (Prompt),系統訊息（提示）
fields.isDefault.label,Mark as default,標記為預設
fields.isRichResponse.description,Return structured JSON with messages and actions instead of plain text streaming.,傳回包含訊息與操作的結構化 JSON，而不是純文字流。
fields.isRichResponse.label,Rich Response,豐富回應
fields.language.description,Contacts are assigned the default language when the contact language is unknown.,聯絡人將套用此預設語言。
fields.language.label,Language,語言
fields.language.placeholder,Select language,選擇語言
fields.lastName.label,Last name,姓氏
fields.lastName.placeholder,Enter last name,輸入姓氏
fields.last30days.label,Last 30 days,過去 30 天
fields.last7days.label,Last 7 days,過去 7 天
fields.lastInput.label,Last Input,最後輸入
fields.lastUserInputTypes.text,Text,文字
fields.lastUserInputTypes.location,Location,位置
fields.lastUserInputTypes.refLink,Ref link,參考連結
fields.lastUserInputTypes.image,Image,圖片
fields.lastUserInputTypes.video,Video,影片
fields.lastUserInputTypes.audio,Audio,音頻
fields.lastUserInputTypes.gif,GIF,GIF
fields.lastUserInputTypes.file,File,檔案
fields.lastMonth.label,Last month,上個月
fields.lifeTime.label,Lifetime,生命週期
fields.locale.label,Locale,地區設定
fields.errorLog.label,Error Log,錯誤日誌
fields.inputType.label,Input Type,輸入類型
fields.inputType.options.text,Text,文字
fields.inputType.options.image,Image,圖片
fields.inputType.options.file,File,檔案
fields.extractFields.label,Fields to Extract,要擷取的欄位
fields.extractFields.key.label,JSON Key,JSON金鑰
fields.extractFields.key.placeholder,"e.g. email, phone, address",例如電子郵件、電話、地址
fields.extractFields.customFieldId.label,Save to Custom Field,儲存到自訂欄位
fields.extractFields.description.label,Description (Optional),描述（可選）
fields.extractFields.description.placeholder,Describe what to extract,描述要擷取的內容
fields.max.label,Maximum,最大值
fields.maxOutputTokens.label,Max Tokens,最大代幣數量
fields.mcpServer.label,MCP Server,MCP伺服器
fields.systemFunction.label,System Function,系統功能
fields.systemFunction.names.connectUserToHuman,Connect user to Human,將使用者轉接給真人
fields.systemFunction.names.documentReader,Document Reader,文檔閱讀器
fields.systemFunction.names.imageReader,Image Reader,影像讀取器
fields.systemFunction.names.urlContext,Url Reader,網址閱讀器
fields.systemFunction.names.webSearch,Web search,Web 搜尋
fields.min.label,Minimum,最小值
fields.model.label,Model,型號
fields.name.label,Name,名稱
fields.name.placeholder,Enter name,輸入姓名
fields.name.searchPlaceholder,Search name...,搜尋名稱...
fields.selectUsers.label,Select users,選擇使用者
fields.node.label,Node,節點
fields.noResults.label,No results found,找不到結果
fields.notes.label,Notes,備註
fields.numericLength.label,Numeric Length,數字長度
fields.numericValue.label,Numeric Value,數值
fields.openai.label,OpenAI,OpenAI
fields.operation.label,Operation,操作
fields.outputCustomField.label,Output Custom Field,輸出自訂欄位
fields.httpMethod.label,Method,方法
fields.requestUrl.label,URL,URL
fields.requestUrl.placeholder,https://api.example.com/endpoint,https://api.example.com/endpoint
fields.requestHeaders.label,Headers,標頭
fields.requestHeaders.keyPlaceholder,Header,標頭
fields.requestHeaders.valuePlaceholder,Value,值
fields.requestBody.label,Body,身體
fields.requestBody.keyPlaceholder,Field,欄位
fields.requestBody.valuePlaceholder,Value,值
fields.bodyType.label,Body Type,體型
fields.bodyType.options.allContactData,All Contact Data,所有聯絡人資料
fields.bodyType.options.json,JSON,JSON
fields.bodyType.options.formEncoded,Form Encoded,表單編碼
fields.statusCode.label,Status Code,狀態碼
fields.outputMessage.label,Output Message,輸出訊息
fields.outputMessage.placeholder,What is the output message?,輸出訊息是什麼？
fields.paymentHistory.label,Payment History,付款歷史
fields.paymentMethods.label,Payment Methods,付款方式
fields.persistentMenu.description,The persistent menus are used to start a conversation with a user.,持久選單用於啟動與使用者的對話。
fields.persistentMenu.label,"Persistent Menu{plural, select, 1 {s} other {}}","常駐選單 {plural, select, 1 {} other {}}"
fields.persistentMenu.type.openWebsite,Open Website,打開網站
fields.persistentMenu.type.sendFlow,Send Flow,傳送流程
fields.userPersistentMenu.pageDefault,Default,預設
fields.userPersistentMenu.label,User Persistent Menu,使用者常駐選單
fields.phoneNumber.label,Phone number,電話號碼
fields.phoneNumberId.label,Phone number,電話號碼
fields.phoneNumberId.noPhoneNumbersFound,No phone numbers found for this account,找不到此帳號的電話號碼
fields.port.label,Port,端口
fields.port.placeholder,587,587
fields.provider.label,Provider,提供商
fields.prompt.label,Prompt,提示
fields.prompt.placeholder,Enter prompt,輸入提示
fields.userMessage.label,User message,使用者訊息
fields.pageUserName.label,Page User Name,粉絲專頁使用者名稱
fields.purpose.label,Purpose,目的
fields.purpose.placeholder,What does this Function do?,這個函數有什麼作用？
fields.question.label,Question,問題
fields.question.placeholder,Are you open today?,今天營業嗎？
fields.imageProfileUrl.label,Image Profile URL,影像設定檔 URL
fields.persona.label,Persona,角色
fields.persona.pageDefault,Default persona,預設角色
fields.quickReply.label,Quick Reply,快速回覆
fields.search.placeholder,Search...,搜尋...
fields.logo.label,Logo,標誌
fields.logoLight.label,Logo (Light),標誌（淺色）
fields.logoDark.label,Logo (Dark),標誌（深色）
fields.favicon.label,Favicon,網站圖標
fields.brandName.label,Brand Name,品牌名稱
fields.brandName.placeholder,Enter brand name,輸入品牌名稱
fields.policyUrl.label,Privacy Policy URL,隱私權政策 URL
fields.termsOfServiceUrl.label,Terms of Service URL,服務條款 URL
fields.showLogo.label,Show Personal Logo,顯示個人標誌
fields.quality.label,Quality,品質
fields.quality.options.auto,Auto,自動
fields.quality.options.hd,HD,高清
fields.quality.options.md,Medium,中
fields.quality.options.ld,Low,低
fields.size.label,Size,大小
fields.size.options.auto,Auto,自動
fields.size.options.square1024,Square - 1024×1024,正方形 - 1024×1024
fields.size.options.landscape1536x1024,Landscape - 1536×1024,風景 - 1536×1024
fields.size.options.portrait1024x1536,Portrait - 1024×1536,肖像 - 1024×1536
fields.size.options.dalle2_256,256×256,256×256
fields.size.options.dalle2_512,512×512,512×512
fields.size.options.dalle3_1792x1024,1792×1024,1792×1024
fields.status.label,Status,狀態
fields.status.pending,Pending,待定
fields.status.processing,Processing,處理中
fields.status.completed,Completed,已完成
fields.status.failed,Failed,失敗
fields.status.success,Success,成功
fields.status.error,Error,錯誤
fields.subtitle.placeholder,Enter subtitle,輸入字幕
fields.syncToMessenger.label,Sync to Messenger,同步到 Messenger
fields.tag.label,Tag,標籤
fields.emailTopic.label,Email Topic,電子郵件主題
fields.emailTopics.label,Email Topics,電子郵件主題
fields.emailTopicSent.label,Sent,已傳送
fields.emailTopicDelivered.label,Delivered(%),已交付(%)
fields.emailTopicSeen.label,Seen(%),觀看次數(%)
fields.emailTopicClicked.label,Clicked(%),點擊次數(%)
fields.targetCountry.description,The country where most of your contacts live.,您的大多數聯絡人居住的國家。
fields.targetCountry.label,Target Country,目標國家/地區
fields.team.label,Team,團隊
fields.rememberConversation.label,Remember conversation,記住對話
fields.temperature.label,Temperature,溫度
fields.templateMessages.label,Template Messages,範本訊息
fields.text.label,Text,文字
fields.text.placeholder,Enter text,輸入文字
fields.thisMonth.label,This month,本月
fields.timezone.description,Contacts are assigned this timezone when the contact timezone is unknown.,聯絡人將套用此時區。
fields.timezone.label,Timezone,時區
fields.title.placeholder,Enter title,輸入標題
fields.today.label,Today,今天
fields.tools.label,Tools,工具
fields.tools.placeholder,Select tools,選擇工具
fields.triggerFlowId.label,Trigger Flow ID,觸發器流程 ID
fields.triggerFlowId.placeholder,What flow is triggered?,觸發什麼流程？
fields.type.label,Type,類型
fields.type.placeholder,Select type,選擇類型
fields.lastRead.label,Last Read,最後閱讀
fields.assignee.label,Assignee,被指派者
fields.modified.label,Modified,已修改
fields.estimatedContacts.label,Estimated Contacts,估計聯絡人
fields.scheduledAt.label,Scheduled At,預定於
fields.channel.label,Channel,頻道
fields.comment.label,Comment,留言
fields.directMessage.label,Direct Message,直接訊息
fields.updatedAt.label,Updated At,更新於
fields.url.label,URL,URL
fields.url.placeholder,Enter URL,輸入 URL
fields.userId.label,User ID,使用者 ID
fields.userId.placeholders.instagram,Instagram user ID,Instagram 使用者 ID
fields.userId.placeholders.messenger,Messenger PSID,MessengerPSID
fields.userId.placeholders.telegram,Telegram chat ID,Telegram 聊天 ID
fields.userId.placeholders.tiktok,TikTok user ID,TikTok 使用者 ID
fields.userId.placeholders.zalo,Zalo user ID,Zalo 使用者 ID
fields.userTags.label,User Applied Tags,使用者已套用標籤
fields.username.label,Username,使用者名稱
fields.username.placeholder,user@example.com,user@example.com
fields.keywords.label,Keywords,關鍵字
fields.value.label,Value,值
fields.wabaId.label,WABA ID,WABA ID
fields.webchat.label,Webchat,網路聊天
fields.welcomeFlowId.description,The welcome message is automatically sent when the user opens your webchat.,當使用者開啟您的網路聊天時，會自動傳送歡迎訊息。
fields.welcomeFlowId.label,Welcome Flow,歡迎流程
fields.whatsapp.label,WhatsApp,WhatsApp
fields.sms.label,SMS,簡訊
fields.viber.label,Viber,Viber
fields.viberBm.label,Viber BM,Viber BM
fields.voice.label,Voice,語音
fields.googleBm.label,Google BM,GoogleBM
fields.landingPage.label,Landing Page,著陸頁面
fields.whatsappFlow.label,WhatsApp Flow,WhatsApp流程
fields.shortText.label,Short Text,短文字
fields.shortText.placeholder,Enter text,輸入文字
fields.number.label,Number,號碼
fields.number.placeholder,Enter number,輸入號碼
fields.date.label,Date,日期
fields.datetime.label,Datetime,日期時間
fields.boolean.label,Boolean,布林值
fields.boolean.placeholder,Select true or false,選擇 true 或 false
fields.boolean.true,True,正確
fields.boolean.false,False,錯誤
fields.longText.label,Long Text,長文字
fields.replyFormat.label,Reply Format,回覆格式
fields.replyFormat.number,Number,號碼
fields.replyFormat.text,Text,文字
fields.replyFormat.email,Email,電子郵件
fields.replyFormat.phone,Phone,電話
fields.replyFormat.image,Image,圖片
fields.replyFormat.file,File,檔案
fields.replyFormat.link,Link,連結
fields.replyFormat.date,Date,日期
fields.replyFormat.datetime,Datetime,日期時間
fields.replyFormat.location,Location,位置
fields.replyFormat.anyInput,Any Input,任何輸入
fields.workspaceMember.label,Workspace Member,工作區成員
fields.yesterday.label,Yesterday,昨天
fields.permissions.label,Permissions,權限
fields.permissions.superAdmin,Super Admin,超級管理員
fields.permissions.analytics,Analytics,分析
fields.permissions.flows,Flows,流程
fields.permissions.contacts,Contacts,聯絡人
fields.permissions.onlyAssignedContacts,Only Assigned Contacts,僅分配聯絡人
fields.permissions.emailAndPhone,Email and Phone,電子郵件和電話
fields.permissions.broadcast,Broadcast,廣播
fields.permissions.ecommerce,Ecommerce,電子商務
fields.member.label,Member,會員
fields.schedule.label,Schedule,時間表
fields.schedule.now,Now,現在
fields.schedule.scheduled,Schedule for later,稍後安排
fields.inputFieldId.label,Input Custom Field,輸入自訂欄位
fields.aiEditImage.inputFieldId.label,Image,圖片
fields.inputText.label,Input Text,輸入文字
fields.outputFieldId.label,Save result to a custom field,將結果儲存到自訂欄位
fields.audio.label,Audio Field,音訊欄位
fields.voiceType.label,Voice Type,語音類型
fields.voiceType.placeholder,Select a voice type,選擇語音類型
fields.voiceTone.label,Voice tone (Optional),語音（可選）
fields.voiceTone.placeholder,Speak in a cheerful tone.,用愉快的語氣說話。
fields.jsonPath.placeholder,Enter JSON path,輸入 JSON 路徑
fields.jsonPath.targetThisRow,Fill this row from JSON,從 JSON 填入此列
fields.jsonSource.title,Pick JSON path,選擇 JSON 路徑
fields.jsonSource.tabs.testResponse,Test response,測試回應
fields.jsonSource.tabs.pasteSample,Paste sample,貼上範例
fields.jsonSource.pastePlaceholder,Paste a sample JSON response,貼上範例 JSON 回應
fields.jsonSource.invalidJson,Invalid JSON,無效 JSON
fields.jsonSource.noTestResponse,Run Test Now to browse a live response,立即執行測試以瀏覽即時回應
fields.jsonSource.activeTarget,Filling row {row},填入第 {row} 列
fields.jsonSource.showMore,Show more,顯示更多
fields.jsonSource.showMoreCount,Show {count} more,顯示更多（{count}）
fields.spreadsheets.label,Spreadsheets,電子表格
fields.retryMessage.label,Retry Message,重試訊息
fields.skipButtonLabel.label,Skip Button Label,跳過按鈕標籤
fields.autoSkipTime.label,Auto Skip Time,自動跳過時間
fields.autoSkipFailAttempts.label,Auto Skip Fail Attempts,自動跳過失敗嘗試
fields.autoSkip.label,Auto Skip,自動跳過
fields.spreadsheet.label,Spreadsheet,電子表格
fields.worksheet.label,Worksheet,工作表
fields.source.label,Source,來源
fields.source.placeholder,Select a source,選擇來源
fields.password.label,Password,密碼
fields.password.placeholder,••••••••,••••••••
fields.passwordConfirmation.label,Re-enter password,重新輸入密碼
fields.newPassword.label,New Password,新密碼
fields.currentPassword.label,Current Password,目前密碼
fields.developerAccessToken.label,API Access Token,API 存取權杖
fields.fullName.label,Full Name,全名
fields.botFields.label,Bot Fields,機器人欄位
fields.keyword.label,Keyword,關鍵字
fields.keyword.searchPlaceholder,Search keyword...,搜尋關鍵字...
fields.templateId.label,WhatsApp Template,WhatsApp 範本
fields.messengerTemplateId.label,Messenger Template,Messenger 範本
fields.whatsappChannel.label,WhatsApp Channel,WhatsApp 頻道
fields.messengerChannel.label,Messenger Channel,Messenger 頻道
fields.messages.label,Messages,訊息
fields.shortcut.label,Shortcut,快捷方式
fields.savedReplies.label,Saved Replies,已儲存的回覆
fields.role.label,Role,角色
fields.plan.label,Plan,方案
fields.price.label,Price,價格
fields.annualPrice.label,Annual Price,年價
fields.limitContacts.label,Maximum of Contacts,最大聯絡人
fields.marketingFeatures.label,Marketing feature list,行銷功能清單
fields.marketingFeatures.description,A list of product features that will be visible to customers. Displayed in pricing tables.,客戶可見的產品功能清單。顯示在定價表中。
fields.currency.label,Currency,貨幣
fields.clientId.label,Client ID,Client ID
fields.clientSecret.label,Client Secret,客戶端密碼
fields.verifyToken.label,Webhook Verify Token,Webhook 驗證權杖
fields.apiVersion.label,API Version,API版本
fields.configId.label,App Config ID,應用程式設定 ID
fields.systemUserId.label,System User ID,系統使用者 ID
fields.systemUserToken.label,System User Token,系統使用者代幣
fields.businessId.label,Business ID,Business ID
fields.businessName.label,Business Name,公司名稱
fields.publishableKey.label,Publishable Key,可發布金鑰
fields.secretKey.label,Secret Key,金鑰
fields.freeTrial.label,Free Trial,免費試用
fields.freeTrial.suffix,days,天
fields.pricing.label,Pricing,定價
fields.sequence.label,Sequence,序列
fields.from.label,From,來自
fields.fromAddress.label,From Address,寄件者地址
fields.fromAddress.placeholder,noreply@example.com,noreply@example.com
fields.messageTemplate.label,Message Template,訊息範本
fields.preheader.label,Preheader,前置頭
fields.subject.label,Subject,主題
fields.to.label,To,至
fields.smtpChannel.label,SMTP Channel,SMTP頻道
fields.magicLink.label,Magic Link,Magic Link
fields.magicLink.nameHint,"Appended after /r/{workspaceId}/ in the public tracking URL. Use letters, numbers, underscore, and hyphen only.",在公共追蹤 URL 中附加在 /r/{workspaceId}/ 之後。僅使用字母、數字、底線和連字號。
fields.magicLink.urlHint,"Use double braces in the URL, e.g. https://example.com/page?utm_campaign='{{campaign}}'. Values come from the tracking link query string.",在URL中使用雙大括號，例如https://example.com/page?utm_campaign='{{campaign}}'. 值來自追蹤連結查詢字串。
fields.appId.label,App ID,App ID
fields.appSecret.label,App Secret,應用程式秘密
fields.webhookVerifyToken.label,Webhook Verify Token,Webhook 驗證權杖
fields.heading.label,Heading,標題
fields.heading.placeholder,Enter heading,輸入標題
fields.import.label,Import,匯入
fields.import.uploading,Uploading…,正在上傳...
fields.import.fileTooLarge,The file exceeds the {size} MB limit.,檔案超出 {size} MB 限制。
fields.import.unsupportedFileType,This file type is not supported.,不支援此檔案類型。
fields.import.unableToReadHeaders,Unable to read the import headers.,無法讀取匯入標頭。
fields.import.uploadError,The file could not be uploaded.,檔案無法上傳。
fields.import.histories.title,Import history,匯入歷史記錄
fields.import.histories.recent,Recent imports,最近匯入
fields.import.histories.progress,Progress,進度
fields.import.histories.success,Success,成功
fields.import.histories.failed,Failed,失敗
fields.import.histories.completedAt,Completed at,完成於
fields.import.histories.errorDetails,Import errors,匯入錯誤
fields.import.histories.row,Row {row},第 {row} 列
fields.line.label,Line,線
fields.spacing.label,Spacing,間距
fields.code.label,Code,代碼
fields.code.placeholder,Enter code,輸入代碼
fields.authCallbackUrl.label,Auth Callback URL,授權回呼 URL
fields.authCallbackUrl.hint,"Register this exact URL as the OAuth redirect URI in your provider app. It must use this host, not your custom domain — the provider cannot reach a custom domain.",請將這個確切 URL 註冊為提供者應用程式中的 OAuth 重新導向 URI。必須使用此主機，而不是您的自訂網域，因為提供者無法存取自訂網域。
fields.signInCallbackUrl.label,Sign-in Callback URL,登入回呼 URL
fields.signInCallbackUrl.hint,Add this to your Google app's authorized redirect URIs to enable Google sign-in.,請將此網址新增為 Google 應用程式中的授權重新導向 URI，以啟用 Google 登入。
fields.webhookUrl.label,Webhook URL,WebhookURL
fields.webhookUrl.hint,"Register this exact Webhook URL in your provider app. It must use this host, not your custom domain — the provider cannot reach a custom domain.",在您的提供者應用程式中註冊此確切的 Webhook URL。它必須使用此主機，而不是您的自訂網域 - 提供者無法存取自訂網域。
fields.tiktok.label,TikTok,TikTok
fields.tiktok.accessToken,Access Token,訪問權杖
fields.tiktok.openId,Open ID,開啟ID
fields.tiktok.clientId,Client ID,客戶端ID
fields.tiktok.clientSecret,Client Secret,客戶端密碼
fields.tiktok.displayName,Display Name,顯示名稱
fields.tiktok.connectInstructions.step1,Create a TikTok app at <link>developers.tiktok.com</link>.,建立TikTok應用程式位於<link>developers.tiktok.com</link>。
fields.tiktok.connectInstructions.step2,"Authorize your account and copy the <strong>access token</strong>, <strong>open ID</strong>, and <strong>client secret</strong>.",授權您的帳號，並複製 <strong>Access Token</strong>、<strong>Open ID</strong> 與 <strong>Client Secret</strong>。
fields.tiktok.connectInstructions.step3,Paste the credentials below to connect.,貼上下面的憑證以進行連接。
fields.drip.label,Drip,Drip
fields.sendGrid.label,SendGrid,SendGrid
fields.currentVersion,Current,目前
fields.consecutiveFailedReply.label,Consecutive Failed Replies,連續回覆失敗
fields.currentStep.label,Current Step,目前步驟
fields.fbChatLink.label,Facebook Inbox Link,Facebook 收件匣連結
fields.inboxLink.label,Inbox Link,收件匣連結
fields.instagramBusinessFollowsUser.label,Instagram Business Follows User,Instagram 業務跟進使用者
fields.instagramFollowers.label,Instagram Followers,Instagram 追蹤者
fields.instagramFollowsBusiness.label,Instagram Follows Business,Instagram 專注於業務
fields.instagramUsername.label,Instagram Username,Instagram 使用者名稱
fields.instagramVerified.label,Instagram Verified,Instagram 已驗證
fields.lastAd.label,Last Ad,最後一個廣告
fields.lastAdSourcePlatform.label,Last Ad Source Platform,最後一個廣告來源平台
fields.lastAdSourceUrl.label,Last Ad Source URL,最後一個廣告來源 URL
fields.lastButtonTitle.label,Last Button Title,最後一個按鈕標題
fields.lastCommentId.label,Last Comment ID,最後留言 ID
fields.lastCommentedPostText.label,Last Commented Post Text,最後留言的貼文文字
fields.lastCtwa.label,Last CTWA,最後CTWA
fields.lastFbComment.label,Last FB comment,最後一則 Facebook 留言
fields.lastInputFailure.label,Last Input Failure,最後一次輸入失敗
fields.lastInteraction.label,Last Interaction,最後一次互動
fields.lastLatitude.label,Last Latitude,最後緯度
fields.lastLongitude.label,Last Longitude,最後經度
fields.lastOutboundMessageAt.label,Last Outbound Message At,最後傳出訊息時間
fields.lastPostId.label,Last Post ID,最後發表 ID
fields.lastSeen.label,Last Seen,最後出現
fields.lastStep.label,Last Step,最後一步
fields.me.label,My Data Link,我的資料連結
fields.phone.label,Phone,電話
fields.phoneAndEmail.label,Phone and email,電話和電子郵件
fields.timezoneName.label,Timezone Name,時區名稱
fields.totalNewTagged.label,Total New Tagged,新標記總數
fields.totalTagged.label,Total Tagged,標記總數
fields.userChannel.label,User Channel,使用者頻道
fields.userExternalId.label,User External ID,使用者外部 ID
fields.userHash.label,User Hash,使用者哈希
fields.userSource.label,User Source,使用者來源
fields.webchatParentUrl.label,Webchat Parent URL,網路聊天父層 URL
fields.make.inviteUrl,Invite Link,邀請連結
fields.make.inviteUrlHint,The invite link for your published Make custom app (e.g. https://eu2.make.com/app/invite/...).,您已發佈到 Make 的自訂應用程式邀請連結（例如 https://eu2.make.com/app/invite/...）。
fields.makeEvents.label,Events,活動
fields.makeEvents.placeholder,Type an event name and press Enter,輸入事件名稱並按 Enter
fields.makeEvents.description,"Add one or more event names. When Make attaches a webhook for one of these events, data is sent to it when this step runs.",新增一個或多個事件名稱。當 Make 為其中某個事件附加 Webhook 時，此步驟執行時就會把資料傳送過去。
flows.title,Flows,流程
flows.quickReplies.limitReached,Quick reply limit reached ({max}).,已達到快速回覆限制 ({max})。
flows.buttons.limitReached,Button limit reached ({max}).,已達到按鈕限制 ({max})。
flows.aiGenerateText.label,{name}: Generate Text,{name}：產生文字
flows.aiGenerateImage.label,{name}: Generate Image,{name}：產生影像
flows.aiEditImage.label,{name}: Edit Image,{name}：編輯影像
flows.aiAnalyzeImage.label,{name}: Analyze Image,{name}：分析影像
flows.aiExtractData.label,{name}: Extract Data,{name}：擷取資料
flows.openaiCompatible.empty,Connect an OpenAI-compatible provider in integration settings before using this step.,連接相容OpenAI的提供者。
flows.openaiCompatible.integration,OpenAI-compatible provider,OpenAI相容供應商
flows.openaiCompatible.none,None,無
flows.actions.addContactNotes,Add Contact Notes,新增聯絡人備註
flows.actions.addContactTag,Add Contact Tag,新增聯絡人標籤
flows.actions.aiDeleteMessageHistory,Delete Message History,刪除訊息歷史記錄
flows.actions.aiExtractData,AI Extract Data,AI擷取資料
flows.actions.aiAnalyzeImage,AI Analyze Image,AI 分析影像
flows.actions.aiSpeechToText,AI Speech to Text,人工智慧語音轉文字
flows.actions.aiGenerateImage,AI Generate Image,AI 產生影像
flows.actions.aiGenerateTextAgent,AI Generate Text Agent,AI產生文字Agent
flows.actions.aiTextToSpeech,AI Text to Speech,人工智慧文字轉語音
flows.actions.archiveConversation,Archive Conversation,封存對話
flows.actions.assignConversation,Assign Conversation,指派對話
flows.actions.autoAssignConversation,Auto Assign Conversation,自動指派對話
flows.actions.blockContact,Block Contact,封鎖聯絡人
flows.actions.broadcastActions,Broadcast Actions,廣播操作
flows.actions.callApi,External API Request,外部API 請求
flows.actions.make,Make,Make.com
flows.actions.triggers,Triggers,觸發器
flows.actions.questionnaires,Questionnaires,問卷
flows.actions.setUpCoupon,Set up Coupon,設定優惠券
flows.actions.markCouponUsed,Mark Coupon used,標記優惠券
flows.actions.chooseChannel,Choose Channel,選擇頻道
flows.actions.clearCustomField,Clear Custom Field,清除自訂欄位
flows.actions.condition,Condition,條件
flows.actions.contactActions,Contact Actions,聯絡人操作
flows.actions.countCharacters,Count Characters,計算字元數
flows.actions.deleteContact,Delete Contact,刪除聯絡人
flows.actions.emailActions,Email Actions,電子郵件操作
flows.actions.flowActions,Flow Actions,流程操作
flows.actions.followConversation,Follow Conversation,關注對話
flows.actions.formatDate,Format Date,格式化日期
flows.actions.generateCode,Generate Code,產生代碼
flows.actions.getDataFromJson,Get Data From JSON,從JSON取得資料
flows.actions.inboxActions,Inbox Actions,收件匣操作
flows.actions.markEmailVerified,Mark Email Verified,標記電子郵件已驗證
flows.actions.activeCampaignSyncContact,Add Contact to ActiveCampaign,將聯絡人新增到 ActiveCampaign
flows.actions.facebookCustomAudience,Facebook Custom Audience,Facebook 自訂受眾
flows.actions.mailchimpAddMember,Add Contact to MailChimp,將聯絡人新增到 MailChimp
flows.actions.mailerLiteAddSubscriber,Add Contact to MailerLite,將聯絡人新增到 MailerLite
flows.actions.klaviyoSyncProfile,Add Contact to Klaviyo,將聯絡人新增到 Klaviyo
flows.actions.moosendCreateContact,Add Contact to Moosend,將聯絡人新增到 Moosend
flows.actions.dripSubscribeSubscriber,Add Contact to Drip,將聯絡人加入 Drip
flows.actions.getResponseAddContact,Add Contact to GetResponse,將聯絡人新增到 GetResponse
flows.actions.sendGridAddContact,Add Contact to SendGrid,將聯絡人新增到 SendGrid
flows.actions.messenger,Messenger,Messenger
flows.actions.openWebsite,Open Website,打開網站
flows.actions.optInEmail,Opt In Email,選擇接收電子郵件
flows.actions.optOutEmail,Opt Out Email,選擇退出電子郵件
flows.actions.performAction,Perform Action,執行操作
flows.actions.removeContactTag,Remove Contact Tag,移除聯絡人標籤
flows.actions.setMessengerUserPersistentMenu,Set User Persistent Menu,設定使用者常駐選單
flows.actions.enableMessengerComposer,Enable Messenger Composer,啟用 Messenger 作曲家
flows.actions.disableMessengerComposer,Disable Messenger Composer,停用 Messenger 作曲家
flows.actions.setMessengerPersona,Set Persona,設定角色
flows.actions.updateMessengerContactData,Update Contact Data,更新聯絡人資料
flows.actions.sendAudio,Send Audio,傳送音頻
flows.actions.sendCard,Send Card,傳送卡片
flows.actions.sendExternalFlow,Start External Flow,啟動外部流程
flows.actions.sendExternalNode,Start External Node,啟動外部節點
flows.actions.sendFile,Send File,傳送檔案
flows.actions.sendGif,Send Gif,傳送 GIF
flows.actions.sendImage,Send Image,傳送影像
flows.actions.sendMessage,Send Message,傳送訊息
flows.actions.sendNode,Start Another Node,啟動另一個節點
flows.actions.sendText,Send Text,傳送文字
flows.actions.sendVideo,Send Video,傳送影片
flows.actions.sendTemplateMessage,Template Message,範本訊息
flows.actions.whatsappOptionList,Option List,選項清單
flows.actions.noTemplatesAvailable,No templates available,目前沒有可用的範本
flows.actions.noFlowsAvailable,No flows available,無可用流量
flows.actions.setCustomField,Set Custom Field,設定自訂欄位
flows.actions.startAnotherNode,Start Another Node,啟動另一個節點
flows.actions.startExternalFlow,Start External Flow,啟動外部流程
flows.actions.startExternalNode,Start External Node,啟動外部節點
flows.actions.startFlow,Start Flow,開始流程
flows.actions.subscribeBroadcast,Subscribe Broadcast,訂閱廣播
flows.actions.tools,Tools,工具
flows.actions.transferConversationToBot,Transfer Conversation to Bot,將對話轉移到機器人
flows.actions.transferConversationToHuman,Transfer Conversation to Human,將對話轉移給人類
flows.actions.unarchiveConversation,Unarchive Conversation,取消封存對話
flows.actions.unassignConversation,Unassign Conversation,取消分配對話
flows.actions.unfollowConversation,Unfollow Conversation,取消追蹤對話
flows.actions.unsubscribeBroadcast,Unsubscribe Broadcast,退訂廣播
flows.actions.getUserData,Get User Data,取得使用者資料
flows.actions.sendCarousel,Send Carousel,傳送輪播
flows.actions.actions,Actions,操作
flows.actions.findGif,Find Gif,找 GIF
flows.actions.spreadsheetGetRow,Get Row,取得行
flows.actions.spreadsheetUpdateRow,Update Row,更新列
flows.actions.spreadsheetSendData,Send Data,傳送資料
flows.actions.spreadsheetGetRandomRow,Get Random Row,取得隨機行
